id,source,company_name,legal_rep,est_date,capital,company_type,reg_number,taxpayer_id,business_term,credit_code,status,address,province,city,district,industry,business_scope,metadata
COMP_000001,马克数据网,合肥市瑶海区谢长银蔬果园,谢长银,2020-04-09,未知,个体工商户,340102601112339,92340102MA2UMADM8F,2020-04-09至无固定期限,MA2UMADM-8,存续,合肥市瑶海区临泉东路静安瑞泰3栋104,安徽省,合肥市,瑶海区,农业,食用农产品、预包装食品、保健食品、肉类、禽类、水产品、日用百货销售；卷烟零售；室内娱乐活动服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"{""company_name"": ""合肥市瑶海区谢长银蔬果园"", ""legal_rep"": ""谢长银"", ""credit_code"": ""MA2UMADM-8"", ""est_date"": ""2020-04-09"", ""status"": ""存续"", ""address"": ""合肥市瑶海区临泉东路静安瑞泰3栋104"", ""id"": 1.0, ""company_type"": ""个体工商户"", ""approval_date"": ""20/4/2020"", ""business_scope"": ""食用农产品、预包装食品、保健食品、肉类、禽类、水产品、日用百货销售；卷烟零售；室内娱乐活动服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"", ""business_term"": ""2020-04-09至无固定期限"", ""source"": ""马克数据网"", ""taxpayer_id"": ""92340102MA2UMADM8F"", ""reg_number"": ""340102601112339"", ""province"": ""安徽省"", ""city"": ""合肥市"", ""district"": ""瑶海区"", ""industry"": ""农业"", ""county"": ""瑶海区""}"
COMP_000002,马克数据网,合肥寿山滨水生态农业开发有限公司,范伟,2011-11-29,5000000,有限责任公司(自然人投资或控股),340100000593609,913401005872104446,2011-11-29至2041-11-25,58721044-4,存续,安徽省合肥市瑶海区凤阳新村20栋603室,安徽省,合肥市,瑶海区,农业,农业科技、农业技术的开发、服务、咨询与转让；农业信息咨询；花卉、苗木、盆景、草坪的研发、种植与销售；花卉租赁；瓜果蔬菜、农作物的种植与销售；生态旅游开发；农用机械、农具、农副产品的销售；水产品养殖与销售；农用机械的技术服务；园林绿化工程施工；绿化养护；景观设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"{""company_name"": ""合肥寿山滨水生态农业开发有限公司"", ""legal_rep"": ""范伟"", ""credit_code"": ""58721044-4"", ""capital"": ""5000000"", ""est_date"": ""2011-11-29"", ""status"": ""存续"", ""address"": ""安徽省合肥市瑶海区凤阳新村20栋603室"", ""id"": 2.0, ""company_type"": ""有限责任公司(自然人投资或控股)"", ""approval_date"": ""3/12/2018"", ""business_scope"": ""农业科技、农业技术的开发、服务、咨询与转让；农业信息咨询；花卉、苗木、盆景、草坪的研发、种植与销售；花卉租赁；瓜果蔬菜、农作物的种植与销售；生态旅游开发；农用机械、农具、农副产品的销售；水产品养殖与销售；农用机械的技术服务；园林绿化工程施工；绿化养护；景观设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"", ""business_term"": ""2011-11-29至2041-11-25"", ""source"": ""马克数据网"", ""taxpayer_id"": ""913401005872104446"", ""reg_number"": ""340100000593609"", ""contact_phone"": ""0551-63457288;13965093108;18919659801"", ""email"": ""1421227542@qq.com|610566180@qq.com|14212275422@qq.com|18919659801@qq.com"", ""province"": ""安徽省"", ""city"": ""合肥市"", ""district"": ""瑶海区"", ""industry"": ""农业"", ""county"": ""瑶海区""}"
COMP_000003,马克数据网,合肥市瑶海区卓新生态养殖家庭农场,汪卓,2022-09-30,100000,个体工商户,340102601638297,92340102MA8PJ3N961,2022-09-30至无固定期限,MA8PJ3N9-6,存续,安徽省合肥市瑶海区长江东路与郎溪路交口金光苑7栋103,安徽省,合肥市,瑶海区,农业,一般项目：谷物种植；豆类种植；油料种植；棉花种植；蔬菜种植；薯类种植；园艺产品种植；水果种植；草种植；农业园艺服务；灌溉服务；树木种植经营；木材加工；木材销售；牲畜销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：水产养殖；牲畜饲养；住宿服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,"{""company_name"": ""合肥市瑶海区卓新生态养殖家庭农场"", ""legal_rep"": ""汪卓"", ""credit_code"": ""MA8PJ3N9-6"", ""capital"": ""100000"", ""est_date"": ""2022-09-30"", ""status"": ""存续"", ""address"": ""安徽省合肥市瑶海区长江东路与郎溪路交口金光苑7栋103"", ""id"": 3.0, ""company_type"": ""个体工商户"", ""approval_date"": ""30/9/2022"", ""business_scope"": ""一般项目：谷物种植；豆类种植；油料种植；棉花种植；蔬菜种植；薯类种植；园艺产品种植；水果种植；草种植；农业园艺服务；灌溉服务；树木种植经营；木材加工；木材销售；牲畜销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：水产养殖；牲畜饲养；住宿服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"", ""business_term"": ""2022-09-30至无固定期限"", ""source"": ""马克数据网"", ""taxpayer_id"": ""92340102MA8PJ3N961"", ""reg_number"": ""340102601638297"", ""province"": ""安徽省"", ""city"": ""合肥市"", ""district"": ""瑶海区"", ""industry"": ""农业"", ""county"": ""瑶海区""}"
COMP_000004,马克数据网,安徽省凯泽现代农业有限公司,郑凯,2017-10-24,10000000,有限责任公司(自然人投资或控股),340100002091945,91340100MA2Q3C0P89,2017-10-24至无固定期限,MA2Q3C0P-8,吊销，未注销,安徽省合肥市瑶海区泗州路8号2号楼407室,安徽省,合肥市,瑶海区,农业,农作物种植；畜牧水产养殖；苗木、果树种植；农产品加工（以上限分公司经营）；生态蔬菜销售；农业观光旅游；土地治理；乡村旅游开发；农产品加销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"{""company_name"": ""安徽省凯泽现代农业有限公司"", ""legal_rep"": ""郑凯"", ""credit_code"": ""MA2Q3C0P-8"", ""capital"": ""10000000"", ""est_date"": ""2017-10-24"", ""status"": ""吊销，未注销"", ""address"": ""安徽省合肥市瑶海区泗州路8号2号楼407室"", ""id"": 4.0, ""company_type"": ""有限责任公司(自然人投资或控股)"", ""approval_date"": ""22/3/2021"", ""business_scope"": ""农作物种植；畜牧水产养殖；苗木、果树种植；农产品加工（以上限分公司经营）；生态蔬菜销售；农业观光旅游；土地治理；乡村旅游开发；农产品加销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"", ""business_term"": ""2017-10-24至无固定期限"", ""source"": ""马克数据网"", ""taxpayer_id"": ""91340100MA2Q3C0P89"", ""reg_number"": ""340100002091945"", ""contact_phone"": ""15956523456"", ""email"": ""2593791112@qq.com"", ""province"": ""安徽省"", ""city"": ""合肥市"", ""district"": ""瑶海区"", ""industry"": ""农业"", ""county"": ""瑶海区""}"
COMP_000005,马克数据网,安徽乐满仓生态农业有限公司,骆此勇,2012-05-15,2000000,有限责任公司(自然人投资或控股),340100000653821,91340100597051774D,2012-05-15至无固定期限,59705177-4,存续,安徽省合肥市瑶海区砀山路正业大厦4层,安徽省,合肥市,瑶海区,农业,农作物种植；瓜果、蔬菜、花卉、苗木种植及销售；农业技术开发；仓储（除危险品）；农药（除高剧毒）、肥料、农用机械批发及销售；园艺技术开发；农业观光项目开发；农业技术服务；水产养殖；农副产品（除专项许可）销售（以上凡涉及许可的项目均凭许可证件经营）。,"{""company_name"": ""安徽乐满仓生态农业有限公司"", ""legal_rep"": ""骆此勇"", ""credit_code"": ""59705177-4"", ""capital"": ""2000000"", ""est_date"": ""2012-05-15"", ""status"": ""存续"", ""address"": ""安徽省合肥市瑶海区砀山路正业大厦4层"", ""id"": 5.0, ""company_type"": ""有限责任公司(自然人投资或控股)"", ""approval_date"": ""16/5/2014"", ""company_size"": ""小于50人"", ""business_scope"": ""农作物种植；瓜果、蔬菜、花卉、苗木种植及销售；农业技术开发；仓储（除危险品）；农药（除高剧毒）、肥料、农用机械批发及销售；园艺技术开发；农业观光项目开发；农业技术服务；水产养殖；农副产品（除专项许可）销售（以上凡涉及许可的项目均凭许可证件经营）。"", ""business_term"": ""2012-05-15至无固定期限"", ""source"": ""马克数据网"", ""taxpayer_id"": ""91340100597051774D"", ""reg_number"": ""340100000653821"", ""contact_phone"": ""0139-6725519;0551-64263505;0551-7381673;0551-87381673;13956988928;13966725519"", ""email"": ""595281873@qq.com|864310634@qq.com"", ""province"": ""安徽省"", ""city"": ""合肥市"", ""district"": ""瑶海区"", ""industry"": ""农业"", ""county"": ""瑶海区""}"
COMP_000006,马克数据网,安徽省好康农业科技有限公司,董慧星,2017-11-01,5000000,有限责任公司(自然人独资),340100002099307,91340100MA2Q3YLA9J,2017-11-01至无固定期限,MA2Q3YLA-9,注销,安徽省合肥市瑶海区恒大中央广场7＃商业楼101号,安徽省,合肥市,瑶海区,农业,农业技术开发及转让；谷物、薯类、油料、豆类、蔬菜、花卉、苗木、水果、坚果、茶叶的种植、采购、加工及销售；畜、禽、水产品的养殖、采购、加工及销售；中药材的种植、加工；农业观光旅游；预包装食品的批发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"{""company_name"": ""安徽省好康农业科技有限公司"", ""legal_rep"": ""董慧星"", ""credit_code"": ""MA2Q3YLA-9"", ""capital"": ""5000000"", ""est_date"": ""2017-11-01"", ""status"": ""注销"", ""address"": ""安徽省合肥市瑶海区恒大中央广场7＃商业楼101号"", ""id"": 6.0, ""company_type"": ""有限责任公司(自然人独资)"", ""approval_date"": ""26/12/2019"", ""business_scope"": ""农业技术开发及转让；谷物、薯类、油料、豆类、蔬菜、花卉、苗木、水果、坚果、茶叶的种植、采购、加工及销售；畜、禽、水产品的养殖、采购、加工及销售；中药材的种植、加工；农业观光旅游；预包装食品的批发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"", ""business_term"": ""2017-11-01至无固定期限"", ""source"": ""马克数据网"", ""taxpayer_id"": ""91340100MA2Q3YLA9J"", ""reg_number"": ""340100002099307"", ""province"": ""安徽省"", ""city"": ""合肥市"", ""district"": ""瑶海区"", ""industry"": ""农业"", ""county"": ""瑶海区""}"
COMP_000007,马克数据网,合肥市新站区扁松岗农家果园,童兴照,2018-09-10,未知,个体工商户,340108600328533,92340100MA2T27H80P,2018-09-10至无固定期限,MA2T27H8-0,存续,合肥市新站区三十头社区五十头社居委东风组,安徽省,合肥市,瑶海区,农业,瓜果种植、采摘销售；垂钓服务；餐饮服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"{""company_name"": ""合肥市新站区扁松岗农家果园"", ""legal_rep"": ""童兴照"", ""credit_code"": ""MA2T27H8-0"", ""est_date"": ""2018-09-10"", ""status"": ""存续"", ""address"": ""合肥市新站区三十头社区五十头社居委东风组"", ""id"": 7.0, ""company_type"": ""个体工商户"", ""approval_date"": ""16/10/2018"", ""business_scope"": ""瓜果种植、采摘销售；垂钓服务；餐饮服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"", ""business_term"": ""2018-09-10至无固定期限"", ""source"": ""马克数据网"", ""taxpayer_id"": ""92340100MA2T27H80P"", ""reg_number"": ""340108600328533"", ""contact_phone"": ""13956665555"", ""province"": ""安徽省"", ""city"": ""合肥市"", ""district"": ""瑶海区"", ""industry"": ""农业"", ""county"": ""新站区""}"
COMP_000008,马克数据网,合肥瑶海区史河湾稻谷服务部,江永能,2008-11-10,5000,个体工商户,340102600051084,未知,2008-11-10至无固定期限,未知,吊销，未注销,安徽省合肥市瑶海工业园磨店乡何大郢居委会史河湾村民组,安徽省,合肥市,瑶海区,农业,稻谷/服务,"{""company_name"": ""合肥瑶海区史河湾稻谷服务部"", ""legal_rep"": ""江永能"", ""capital"": ""5000"", ""est_date"": ""2008-11-10"", ""status"": ""吊销，未注销"", ""address"": ""安徽省合肥市瑶海工业园磨店乡何大郢居委会史河湾村民组"", ""id"": 8.0, ""company_type"": ""个体工商户"", ""approval_date"": ""10/12/2013"", ""business_scope"": ""稻谷/服务"", ""business_term"": ""2008-11-10至无固定期限"", ""source"": ""马克数据网"", ""reg_number"": ""340102600051084"", ""province"": ""安徽省"", ""city"": ""合肥市"", ""district"": ""瑶海区"", ""industry"": ""农业""}"
COMP_000009,马克数据网,安徽放牛娃生态农业有限公司,潘茂继,2014-04-14,10000000,有限责任公司(自然人投资或控股),340100000958674,913401000973913506,2014-04-14至无固定期限,09739135-0,吊销，未注销,合肥市瑶海区站西路君临大厦2208,安徽省,合肥市,瑶海区,农业,小黄牛销售、水产品销售、农作物种植、食用农产品销售，养殖技术和信息咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"{""company_name"": ""安徽放牛娃生态农业有限公司"", ""legal_rep"": ""潘茂继"", ""credit_code"": ""09739135-0"", ""capital"": ""10000000"", ""est_date"": ""2014-04-14"", ""status"": ""吊销，未注销"", ""address"": ""合肥市瑶海区站西路君临大厦2208"", ""id"": 9.0, ""company_type"": ""有限责任公司(自然人投资或控股)"", ""approval_date"": ""25/1/2018"", ""business_scope"": ""小黄牛销售、水产品销售、农作物种植、食用农产品销售，养殖技术和信息咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"", ""business_term"": ""2014-04-14至无固定期限"", ""source"": ""马克数据网"", ""taxpayer_id"": ""913401000973913506"", ""reg_number"": ""340100000958674"", ""contact_phone"": ""0551-62685905"", ""email"": ""3291736700@qq.com"", ""province"": ""安徽省"", ""city"": ""合肥市"", ""district"": ""瑶海区"", ""industry"": ""农业"", ""county"": ""瑶海区""}"
COMP_000010,马克数据网,安徽圣普农业科技有限公司,陈和平,2017-04-06,100000000,有限责任公司(自然人投资或控股),340224000064650,91340225MA2NH0AD48,2017-04-06至无固定期限,MA2NH0AD-4,存续,安徽省合肥市瑶海区裕溪路228号合肥大兴周谷堆农产品物流园2幢1至2层商147/147上,安徽省,合肥市,瑶海区,农业,农业开发和技术推广；农产品种植、销售；水产养殖、销售及配送；畜禽养殖销售及配送；零售鲜冻肉类食品（猪、牛、羊、鸡、鹅、鸭畜禽动物肉产品及其分割品）；粮油、蔬菜、水果、干货调味品、预包装食品的销售；花卉、苗木种植、销售；农副产品购销及加工；旅游、休闲垂钓服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"{""company_name"": ""安徽圣普农业科技有限公司"", ""legal_rep"": ""陈和平"", ""credit_code"": ""MA2NH0AD-4"", ""capital"": ""100000000"", ""est_date"": ""2017-04-06"", ""status"": ""存续"", ""address"": ""安徽省合肥市瑶海区裕溪路228号合肥大兴周谷堆农产品物流园2幢1至2层商147/147上"", ""id"": 10.0, ""company_type"": ""有限责任公司(自然人投资或控股)"", ""approval_date"": ""21/6/2021"", ""business_scope"": ""农业开发和技术推广；农产品种植、销售；水产养殖、销售及配送；畜禽养殖销售及配送；零售鲜冻肉类食品（猪、牛、羊、鸡、鹅、鸭畜禽动物肉产品及其分割品）；粮油、蔬菜、水果、干货调味品、预包装食品的销售；花卉、苗木种植、销售；农副产品购销及加工；旅游、休闲垂钓服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"", ""business_term"": ""2017-04-06至无固定期限"", ""source"": ""马克数据网"", ""taxpayer_id"": ""91340225MA2NH0AD48"", ""reg_number"": ""340224000064650"", ""contact_phone"": ""13911815538;18756963248"", ""email"": ""407521146@qq.com|soldier20252@sina.com|chenheping@vip.163.com"", ""province"": ""安徽省"", ""city"": ""合肥市"", ""district"": ""瑶海区"", ""industry"": ""农业"", ""county"": ""瑶海区""}"
