id,source,title,pub_date,effective_date,content,metadata
LAW_000001,https://www.shggzy.com/zhfgfg/496926,中华人民共和国招标投标法实施条例,2022-12-10,2012-02-01,中华人民共和国招标投标法实施条例(2011年12月20日中华人民共和国国务院令第613号公布　根据2017年3月1日《国务院关于修改和废止部分行政法规的决定》第一次修订　根据2018年3月19日《国务院关于修改和废止部分行政法规的决定》第二次修订　根据2019年3月2日《国务院关于修改部分行政法规的决定》第三次修订),"{""chapter"": ""前言/总则"", ""article"": ""前言/总览""}"
LAW_000002,https://www.shggzy.com/zhfgfg/496926,中华人民共和国招标投标法实施条例,2022-12-10,2012-02-01,第一条　为了规范招标投标活动，根据《中华人民共和国招标投标法》(以下简称招标投标法)，制定本条例。,"{""chapter"": ""第一章　总则"", ""article"": ""第一条""}"
LAW_000003,https://www.shggzy.com/zhfgfg/496926,中华人民共和国招标投标法实施条例,2022-12-10,2012-02-01,第二条　招标投标法第三条所称工程建设项目，是指工程以及与工程建设有关的货物、服务。前款所称工程，是指建设工程，包括建筑物和构筑物的新建、改建、扩建及其相关的装修、拆除、修缮等；所称与工程建设有关的货物，是指构成工程不可分割的组成部分，且为实现工程基本功能所必需的设备、材料等；所称与工程建设有关的服务，是指为完成工程所需的勘察、设计、监理等服务。,"{""chapter"": ""第一章　总则"", ""article"": ""第二条""}"
LAW_000004,https://www.shggzy.com/zhfgfg/496926,中华人民共和国招标投标法实施条例,2022-12-10,2012-02-01,第三条　依法必须进行招标的工程建设项目的具体范围和规模标准，由国务院发展改革部门会同国务院有关部门制订，报国务院批准后公布施行。,"{""chapter"": ""第一章　总则"", ""article"": ""第三条""}"
LAW_000005,https://www.shggzy.com/zhfgfg/496926,中华人民共和国招标投标法实施条例,2022-12-10,2012-02-01,第四条　国务院发展改革部门指导和协调全国招标投标工作，对国家重大建设项目的工程招标投标活动实施监督检查。国务院工业和信息化、住房城乡建设、交通运输、铁道、水利、商务等部门，按照规定的职责分工对有关招标投标活动实施监督。县级以上地方人民政府发展改革部门指导和协调本行政区域的招标投标工作。县级以上地方人民政府有关部门按照规定的职责分工，对招标投标活动实施监督，依法查处招标投标活动中的违法行为。县级以上地方人民政府对其所属部门有关招标投标活动的监督职责分工另有规定的，从其规定。财政部门依法对实行招标投标的政府采购工程建设项目的政府采购政策执行情况实施监督。监察机关依法对与招标投标活动有关的监察对象实施监察。,"{""chapter"": ""第一章　总则"", ""article"": ""第四条""}"
LAW_000006,https://www.shggzy.com/zhfgfg/496926,中华人民共和国招标投标法实施条例,2022-12-10,2012-02-01,第五条　设区的市级以上地方人民政府可以根据实际需要，建立统一规范的招标投标交易场所，为招标投标活动提供服务。招标投标交易场所不得与行政监督部门存在隶属关系，不得以营利为目的。国家鼓励利用信息网络进行电子招标投标。,"{""chapter"": ""第一章　总则"", ""article"": ""第五条""}"
LAW_000007,https://www.shggzy.com/zhfgfg/496926,中华人民共和国招标投标法实施条例,2022-12-10,2012-02-01,第六条　禁止国家工作人员以任何方式非法干涉招标投标活动。,"{""chapter"": ""第一章　总则"", ""article"": ""第六条""}"
LAW_000008,https://www.shggzy.com/zhfgfg/496926,中华人民共和国招标投标法实施条例,2022-12-10,2012-02-01,第七条　按照国家有关规定需要履行项目审批、核准手续的依法必须进行招标的项目，其招标范围、招标方式、招标组织形式应当报项目审批、核准部门审批、核准。项目审批、核准部门应当及时将审批、核准确定的招标范围、招标方式、招标组织形式通报有关行政监督部门。,"{""chapter"": ""第二章　招标"", ""article"": ""第七条""}"
LAW_000009,https://www.shggzy.com/zhfgfg/496926,中华人民共和国招标投标法实施条例,2022-12-10,2012-02-01,第八条　国有资金占控股或者主导地位的依法必须进行招标的项目，应当公开招标；但有下列情形之一的，可以邀请招标：(一)技术复杂、有特殊要求或者受自然环境限制，只有少量潜在投标人可供选择；(二)采用公开招标方式的费用占项目合同金额的比例过大。有前款第二项所列情形，属于本条例第七条规定的项目，由项目审批、核准部门在审批、核准项目时作出认定；其他项目由招标人申请有关行政监督部门作出认定。,"{""chapter"": ""第二章　招标"", ""article"": ""第八条""}"
LAW_000010,https://www.shggzy.com/zhfgfg/496926,中华人民共和国招标投标法实施条例,2022-12-10,2012-02-01,第九条　除招标投标法第六十六条规定的可以不进行招标的特殊情况外，有下列情形之一的，可以不进行招标：(一)需要采用不可替代的专利或者专有技术；(二)采购人依法能够自行建设、生产或者提供；(三)已通过招标方式选定的特许经营项目投资人依法能够自行建设、生产或者提供；(四)需要向原中标人采购工程、货物或者服务，否则将影响施工或者功能配套要求；(五)国家规定的其他特殊情形。招标人为适用前款规定弄虚作假的，属于招标投标法第四条规定的规避招标。,"{""chapter"": ""第二章　招标"", ""article"": ""第九条""}"
