id,source,category,title,project_name,project_num,pub_date,purchaser,agency,winner,win_amount,win_date,address,province,city,county,metadata
ZHON_000001,zhongbiao,未知,西南医科大学附属医院忠山院区第二住院大楼暨明康楼医疗辅助与环境消杀服务(二次)中标（成交）结果公告,忠山院区第二住院大楼暨明康楼医疗辅助与环境消杀服务(二次),N5100012025003566,2025/12/29,西南医科大学附属医院,四川国际招标有限责任公司,四川民吉物业服务有限公司,1798128,未知,四川省,四川省,泸州市,江阳区,"{""address"": ""四川省"", ""agency"": ""四川国际招标有限责任公司"", ""buyer_address"": ""四川省泸州市江阳区太平街25号"", ""buyer_contact"": ""陈老师，0830-2606107"", ""city"": ""泸州市"", ""contract_number"": ""N5100012025003566"", ""contract_sign_date"": ""2025年12月29日 18:17"", ""county"": ""江阳区"", ""file_name"": ""zhongbiao_1767003960_1.txt"", ""id"": 1.0, ""industry"": ""医疗健康"", ""main_target_name"": ""服务范围"", ""main_target_quantity"": 1.0, ""main_target_unit_price"": ""详见合同"", ""other_supplements"": ""中国（四川）自由贸易实验区成都市高新区天府四街66号航兴国际广场2号楼22层1号 代理机构联系方式: 13111881792"", ""performance_info"": ""服务标准"", ""procurement_method"": ""公开招标"", ""project_name"": ""忠山院区第二住院大楼暨明康楼医疗辅助与环境消杀服务(二次)"", ""project_num"": ""N5100012025003566"", ""province"": ""四川省"", ""pub_date"": ""2025-12-29"", ""purchaser"": ""西南医科大学附属医院"", ""source"": ""zhongbiao"", ""specs"": ""服务要求"", ""supplier_address"": ""泸州市江阳区康城路一段7号1号楼16层1602号"", ""supplier_contact"": ""张慧静、周备"", ""title"": ""西南医科大学附属医院忠山院区第二住院大楼暨明康楼医疗辅助与环境消杀服务(二次)中标（成交）结果公告"", ""win_amount"": ""1798128"", ""winner"": ""四川民吉物业服务有限公司""}"
ZHON_000002,zhongbiao,未知,咸宁国家高新区集成电路低碳产业园项目产业规划中标成交公告,咸宁国家高新区集成电路低碳产业园项目产业规划中标成交公告,未知,2025/12/29,咸宁高新技术产业开发区管理委员会本级,未知,中国电子工程设计院股份有限公司,113,未知,湖北省,湖北省,未知,海淀区,"{""address"": ""湖北省"", ""buyer_contact"": ""15071246203"", ""contract_sign_date"": ""2025年12月29日 18:14"", ""county"": ""海淀区"", ""file_name"": ""zhongbiao_1767003967_4.txt"", ""id"": 4.0, ""industry"": ""其他"", ""main_target_name"": ""其他"", ""main_target_quantity"": 1.0, ""main_target_unit_price"": ""详见合同"", ""other_supplements"": ""代理机构联系方式: 18186512170"", ""performance_info"": ""自合同签订之日直至《咸宁国家高新区集成电路低碳产业园项目产业规划》评审通过。"", ""procurement_method"": ""公开招标"", ""project_name"": ""咸宁国家高新区集成电路低碳产业园项目产业规划中标成交公告"", ""province"": ""湖北省"", ""pub_date"": ""2025-12-29"", ""purchaser"": ""咸宁高新技术产业开发区管理委员会本级"", ""source"": ""zhongbiao"", ""specs"": ""咸宁国家高新区集成电路低碳产业园项目产业规划"", ""stage"": ""成交公告"", ""supplier_address"": ""海淀区"", ""supplier_contact"": ""徐沫2.联系电话：027-877110813.各有关当事人对中标结果有异议的，可以在公告发布后7个工作日内以书面形式向湖北省成套招标股份有限公司提出质疑，逾期将不再受理。"", ""title"": ""咸宁国家高新区集成电路低碳产业园项目产业规划中标成交公告"", ""win_amount"": ""113"", ""winner"": ""中国电子工程设计院股份有限公司""}"
ZHON_000003,zhongbiao,未知,交管支队公安经费警务辅助人员服务采购项目中标结果公告,交管支队公安经费警务辅助人员服务采购项目中标结果公告,未知,2025/12/29,鄂州市公安局交通管理局,未知,武汉新鲜人人力资源有限公司,2245.26,未知,湖北省,湖北省,武汉市,洪山区,"{""address"": ""湖北省"", ""buyer_contact"": ""0711-3752819"", ""city"": ""武汉市"", ""contract_sign_date"": ""2025年12月29日 18:14"", ""county"": ""洪山区"", ""file_name"": ""zhongbiao_1767003969_5.txt"", ""id"": 5.0, ""industry"": ""服务业"", ""main_target_name"": ""服务"", ""main_target_quantity"": 1.0, ""main_target_unit_price"": ""详见合同"", ""other_supplements"": ""代理机构联系方式: 15971430746"", ""performance_info"": ""合同签订后1年，一年期满后采购人对成交人进行综合考核、评估，依据综合考评情况可续签下一年服务合同，如不满意，可解除合同，重新招标。最多续签一次。"", ""procurement_method"": ""公开招标"", ""project_name"": ""交管支队公安经费警务辅助人员服务采购项目中标结果公告"", ""province"": ""湖北省"", ""pub_date"": ""2025-12-29"", ""purchaser"": ""鄂州市公安局交通管理局"", ""source"": ""zhongbiao"", ""specs"": ""详见招标文件"", ""stage"": ""中标结果公告"", ""supplier_address"": ""武汉市洪山区吴家湾邮科中路民营高科技综合楼1栋"", ""supplier_contact"": ""王馨怡、徐淦、胡小康"", ""title"": ""交管支队公安经费警务辅助人员服务采购项目中标结果公告"", ""win_amount"": ""2245.26"", ""winner"": ""武汉新鲜人人力资源有限公司""}"
ZHON_000004,zhongbiao,未知,国家税务总局陕西省税务局2025年电子税务局坐席服务项目中标公告,国家税务总局陕西省税务局2025年电子税务局坐席服务项目,SXSW-ZFCG-2025037,2025/12/29,国家税务总局陕西省税务局,未知,方欣科技有限公司,3429800,未知,陕西省,陕西省,广州市,黄埔区,"{""address"": ""陕西省"", ""buyer_address"": ""西安市二环南路西段39号"", ""buyer_contact"": ""苗晓鹏029-87695195"", ""city"": ""广州市"", ""contract_number"": ""SXSW-ZFCG-2025037"", ""contract_sign_date"": ""2025年12月29日 18:14"", ""county"": ""黄埔区"", ""file_name"": ""zhongbiao_1767003971_6.txt"", ""id"": 6.0, ""industry"": ""服务业"", ""main_target_name"": ""服务"", ""main_target_quantity"": 1.0, ""main_target_unit_price"": ""详见合同"", ""other_supplements"": ""代理机构联系方式: 姚立涛、吕浩岳、安维霞 02987515810"", ""performance_info"": ""服务标准"", ""procurement_method"": ""公开招标"", ""project_name"": ""国家税务总局陕西省税务局2025年电子税务局坐席服务项目"", ""project_num"": ""SXSW-ZFCG-2025037"", ""province"": ""陕西省"", ""pub_date"": ""2025-12-29"", ""purchaser"": ""国家税务总局陕西省税务局"", ""source"": ""zhongbiao"", ""specs"": ""服务要求"", ""supplier_address"": ""广州市黄埔区科学大道82-88号（双号）（C3）栋901房"", ""supplier_contact"": ""姚立涛"", ""title"": ""国家税务总局陕西省税务局2025年电子税务局坐席服务项目中标公告"", ""win_amount"": ""3429800"", ""winner"": ""方欣科技有限公司""}"
ZHON_000005,zhongbiao,未知,云南省五华监狱2026年罪犯生活物资采购（肉副食类）中标公告,云南省五华监狱2026年罪犯生活物资采购（肉副食类）,YNZC2025-G1-07947-YNFY-0140,2025/12/29,云南省五华监狱,未知,云南镇雪商贸有限公司,314.66,未知,云南省,云南省,昆明市,官渡区,"{""address"": ""云南省"", ""buyer_address"": ""昆明市五华区普吉街道水节箐新村25号"", ""buyer_contact"": ""0871-65336203"", ""city"": ""昆明市"", ""contract_number"": ""YNZC2025-G1-07947-YNFY-0140"", ""contract_sign_date"": ""2025年12月29日 18:13"", ""county"": ""官渡区"", ""file_name"": ""zhongbiao_1767003973_7.txt"", ""id"": 7.0, ""industry"": ""其他"", ""main_target_name"": ""其他"", ""main_target_quantity"": 1.0, ""main_target_unit_price"": ""详见合同"", ""other_supplements"": ""云南省昆明市盘龙区白龙路149号市场监督管理干部学校教学楼六楼 代理机构联系方式: 19987841369"", ""performance_info"": ""详见合同"", ""procurement_method"": ""公开招标"", ""project_name"": ""云南省五华监狱2026年罪犯生活物资采购（肉副食类）"", ""project_num"": ""YNZC2025-G1-07947-YNFY-0140"", ""province"": ""云南省"", ""pub_date"": ""2025-12-29"", ""purchaser"": ""云南省五华监狱"", ""source"": ""zhongbiao"", ""specs"": ""详见招标文件"", ""supplier_address"": ""云南省昆明市官渡区双凤东路500号12幢6、7号"", ""supplier_contact"": ""赵锡莲"", ""title"": ""云南省五华监狱2026年罪犯生活物资采购（肉副食类）中标公告"", ""win_amount"": ""314.66"", ""winner"": ""云南镇雪商贸有限公司""}"
ZHON_000006,zhongbiao,未知,国家税务总局濮阳市税务局2026年物业管理服务项目中标结果公告,国家税务总局濮阳市税务局2026年物业管理服务项目,HA2025-DLGK-C0103-B02,2025/12/29,国家税务总局濮阳市税务局,未知,濮阳市恒基物业管理有限公司,996000,未知,河南省,河南省,未知,未知,"{""address"": ""河南省"", ""buyer_address"": ""河南省濮阳市华龙区黄河中路260号"", ""buyer_contact"": ""赵女士  0393-6677607"", ""contract_number"": ""HA2025-DLGK-C0103-B02"", ""contract_sign_date"": ""2025年12月29日 18:12"", ""file_name"": ""zhongbiao_1767003983_11.txt"", ""id"": 11.0, ""industry"": ""服务业"", ""main_target_name"": ""服务"", ""main_target_quantity"": 1.0, ""main_target_unit_price"": ""详见合同"", ""other_supplements"": ""代理机构联系方式: 张斯栋  0371-65958908"", ""performance_info"": ""服务标准"", ""procurement_method"": ""公开招标"", ""project_name"": ""国家税务总局濮阳市税务局2026年物业管理服务项目"", ""project_num"": ""HA2025-DLGK-C0103-B02"", ""province"": ""河南省"", ""pub_date"": ""2025-12-29"", ""purchaser"": ""国家税务总局濮阳市税务局"", ""source"": ""zhongbiao"", ""specs"": ""服务要求"", ""supplier_address"": ""市人民路23号"", ""supplier_contact"": ""张斯栋"", ""title"": ""国家税务总局濮阳市税务局2026年物业管理服务项目中标结果公告"", ""win_amount"": ""996000"", ""winner"": ""濮阳市恒基物业管理有限公司""}"
ZHON_000007,zhongbiao,未知,巫溪县数智健康中心信息化建设项目(WXX25C00057)中标（成交）结果公告,巫溪县数智健康中心信息化建设项目,未知,2025/12/29,巫溪县人民医院,重庆市巫溪县交易中心,中国电信股份有限公司巫溪分公司,2356000,未知,重庆市,重庆市,重庆市,巫溪县,"{""address"": ""重庆市"", ""agency"": ""重庆市巫溪县交易中心"", ""buyer_address"": ""巫溪县柏杨街道万通路100号"", ""city"": ""重庆市"", ""contract_sign_date"": ""2025年12月29日 18:10"", ""county"": ""巫溪县"", ""file_name"": ""zhongbiao_1767004031_17.txt"", ""id"": 17.0, ""industry"": ""信息技术"", ""main_target_name"": ""其他"", ""main_target_quantity"": 1.0, ""main_target_unit_price"": ""详见合同"", ""other_supplements"": ""重庆市巫溪县柏杨街道丰益路182号2楼（武装部后院）"", ""performance_info"": ""服务标准"", ""procurement_method"": ""公开招标"", ""project_name"": ""巫溪县数智健康中心信息化建设项目"", ""province"": ""重庆市"", ""pub_date"": ""2025-12-29"", ""purchaser"": ""巫溪县人民医院"", ""source"": ""zhongbiao"", ""specs"": ""服务要求"", ""supplier_address"": ""重庆市重庆市巫溪县城厢镇环城路129号"", ""supplier_contact"": ""杜老师"", ""title"": ""巫溪县数智健康中心信息化建设项目(WXX25C00057)中标（成交）结果公告"", ""win_amount"": ""2356000"", ""winner"": ""中国电信股份有限公司巫溪分公司""}"
ZHON_000008,zhongbiao,未知,滨海县2026年度残疾人居家托养项目中标公告,滨海县2026年度残疾人居家托养项目,未知,2025/12/29,滨海县残疾人联合会（机关）,南京鑫灿项目管理有限公司,社会信用代码,381.6,未知,江苏省,江苏省,未知,未知,"{""address"": ""江苏省"", ""agency"": ""南京鑫灿项目管理有限公司"", ""buyer_address"": ""育才西路266号（阳光大厦）"", ""contract_sign_date"": ""2025年12月29日 18:10"", ""file_name"": ""zhongbiao_1767004033_18.txt"", ""id"": 18.0, ""industry"": ""其他"", ""main_target_name"": ""其他"", ""main_target_quantity"": 1.0, ""main_target_unit_price"": ""详见合同"", ""other_supplements"": ""江苏省南京市浦口区星甸街道育才北路9号-1-1045"", ""performance_info"": "":"", ""procurement_method"": ""公开招标"", ""project_name"": ""滨海县2026年度残疾人居家托养项目"", ""province"": ""江苏省"", ""pub_date"": ""2025-12-29"", ""purchaser"": ""滨海县残疾人联合会（机关）"", ""source"": ""zhongbiao"", ""specs"": "":"", ""supplier_contact"": ""张先生"", ""title"": ""滨海县2026年度残疾人居家托养项目中标公告"", ""win_amount"": ""381.60"", ""winner"": ""社会信用代码""}"
ZHON_000009,zhongbiao,未知,江苏省镇江技师学院飞机制造与装配专业国基地建设中标公告,江苏省镇江技师学院飞机制造与装配专业国基地建设,未知,2025/12/29,江苏省镇江技师学院,中轩项目管理有限公司,社会信用代码,87.3,未知,江苏省,江苏省,未知,未知,"{""address"": ""江苏省"", ""agency"": ""中轩项目管理有限公司"", ""buyer_address"": ""镇江市丹徒区长香西大道538号"", ""contract_sign_date"": ""2025年12月29日 18:09"", ""file_name"": ""zhongbiao_1767004037_19.txt"", ""id"": 19.0, ""industry"": ""建筑工程"", ""main_target_name"": ""其他"", ""main_target_quantity"": 1.0, ""main_target_unit_price"": ""详见合同"", ""other_supplements"": ""陕西省西安市经济技术开发区中登文景大厦B座2105"", ""performance_info"": ""详见合同"", ""procurement_method"": ""公开招标"", ""project_name"": ""江苏省镇江技师学院飞机制造与装配专业国基地建设"", ""province"": ""江苏省"", ""pub_date"": ""2025-12-29"", ""purchaser"": ""江苏省镇江技师学院"", ""source"": ""zhongbiao"", ""specs"": ""详见招标文件"", ""supplier_contact"": ""黄向东"", ""title"": ""江苏省镇江技师学院飞机制造与装配专业国基地建设中标公告"", ""win_amount"": ""87.30"", ""winner"": ""社会信用代码""}"
ZHON_000010,zhongbiao,未知,天津港保税区城市环境管理局 2026-2027年天津港保税区涉气污染源工况用电监控服务项目 中标公告,2026-2027年天津港保税区涉气污染源工况用电监控服务项目,XYGK2025339,2025/12/29,天津港保税区城市环境管理局,天津兴业工程咨询有限公司,宁波净美智能科技有限公司,129.6,未知,天津市,天津市,天津市,未知,"{""address"": ""天津市"", ""agency"": ""天津兴业工程咨询有限公司"", ""buyer_address"": ""天津港保税区临港渤海十二南路2336号临港商务大厦"", ""buyer_contact"": ""022-84841134"", ""city"": ""天津市"", ""contract_number"": ""XYGK2025339)中标公告"", ""contract_sign_date"": ""2025年12月29日 18:50"", ""file_name"": ""zhongbiao_1767007398_17.txt"", ""id"": 36.0, ""industry"": ""服务业"", ""main_target_name"": ""服务"", ""main_target_quantity"": 1.0, ""main_target_unit_price"": ""详见合同"", ""other_supplements"": ""天津市河西区解放南路279号利和大厦7层 代理机构联系方式: 022-23393292"", ""performance_info"": ""服务标准"", ""procurement_method"": ""公开招标"", ""project_name"": ""2026-2027年天津港保税区涉气污染源工况用电监控服务项目"", ""project_num"": ""XYGK2025339"", ""province"": ""天津市"", ""pub_date"": ""2025-12-29"", ""purchaser"": ""天津港保税区城市环境管理局"", ""source"": ""zhongbiao"", ""specs"": ""服务要求"", ""supplier_address"": ""统一社会信用代码"", ""supplier_contact"": ""刘雅楠、高园园、徐秀娜、吴强、罗玉颖"", ""title"": ""天津港保税区城市环境管理局 2026-2027年天津港保税区涉气污染源工况用电监控服务项目 中标公告"", ""win_amount"": ""129.60"", ""winner"": ""宁波净美智能科技有限公司""}"
